Meeting with Hungarian Minister of Foreign Affairs and Trade	Yesterday, the Mongolian Minister of Foreign Affairs L.Purevsuren met the Hungarian Minister of Foreign Affairs and Trade Mr. Peter Szijjarto. The meeting took place in the framework of the visit of Hungarian Prime Minister Viktor Orban to Mongolia. During the meeting, Minister Purevsuren noted that: In 2015, the Hungarian President (Mr Orban) and the Minister of Foreign Affairs and Trade (Mr Szijjarto) both visited Mongolia. In addition Hungary has opened an Embassy in Mongolia. In the future, Mongolia has interests to deepen economic, trade and investment co-operation. Mongolia is giving special weight to relations with Hungary. The sides also discussed the complete upgrading of the state-owned “Biocombinat” in Songino which has been undertaken by Hungarian preferential loans. This contract for this was made during the visit of Hungarian Prime Minister. Minister Szijjarto mentioned that the financing has been made possible by a third source. Source: Ministry of Foreign Affairs	http://www.news.mn/r/234068
Troops of 47 countries to participate in “Khaan Quest”	The annual “Khaan Quest” military training exercise is planned to take place from 22nd May to 4th June. The purpose of the “Quest” is to improve the skills of peacekeeping operations and cooperation between Mongolia and the USA. This year, the United States Pacific Command, Organization for Peacekeeping, and Mongolian Armed Forces are the joint organizers. Last year, troops from 23 countries including the USA, Russia, Australia, Bangladesh and Belarus participated in the training. This year will be larger, with trainers from 47 countries taking part. Therefore, the director of the Mongolian Armed Forces, Peacekeeping Support Authorty, B.Erdenebat, has said: “This year’s “Khaan Quest” will be extended and have wider status”. The “Khaan Quest” has being organized since 2003, with the co-operation of Mongolia and the USA. Since 2006, the training has upgraded to a truly international event. Moreover, it has become one of the best five peacekeeping training programs in the Asia Pacific region.	http://www.news.mn/r/234120
Hungary to produce “smart” Mongolian passports	In the framework of Hungarian Prime Minister Viktor Orban’s visit to Mongolia, a meeting between representatives of the Hungarian State Printing Company and the heads of the State Registration and Statistical Authority has taken place. During the meeting, the two sides made a contract to update Mongolian foreign passports. The main change is the inclusion of a new international standard data chip. The Hungarian State Printing Company produces passports with and without chips, documents for crossing border crossing, travel documents, permission to settle in European Union, permission documents for proposed asylum seekers, refugee and immigration documents and other similar items containing sensitive information. The official website of the State Registration and Statistical Authority informed that the new chip passports will mean that Mongolian citizens will have fewer problems, when crossing borders; they will offer more security.	http://www.news.mn/r/234121
“Development Revolution”	Yesterday, an event entitled “Development Revolution” took place at the Trade Unions’ Central Palace of Culture. This was to mark the 5th anniversary of the Special Session of the Mongolian People’s Revolutionary Party (MPRP). After an opening concert, N.Udval, an MP and a member of the MPRP’s Executive Bureau made a speech entitled “Five years of Struggle and Hard Endurance”; MP Ch.Ulaan, another member of the Executive Bureau, Member of Parliament and Director of the Budget Standing Committee spoke on the theme of “Let’s Solve Oyu-Tolgoi Together”. The “Development Revolution” event had photograph exhibitions on the subjects of “Mommy, I’m Hungry”, “History of Restoring the Party Name” and the “Arrest of N.Enkhbayar”. Approximately, 1000 MPRP representatives from every khoroo (ward) of the nine districts of Ulaanbaatar and all 21 provinces attended the session. G.Byambasuren, who is MPRP Secretary for UB said: “Five years ago, we announced a program of fair and just actions - today, we are concluding everything we have done over the last five years. Mongolia put state development on hold for 25 years following the ‘Democratic Revolution’. Therefore, MPRP has introduced a ‘roadmap’ for a future ‘Development Revolution’”.	http://www.news.mn/r/234197
Future engineers to study in Japan	The project “Higher Education in Engineering and Technology” to prepare 1000 engineers in Japan is being successfully implemented. The purpose of the program is to improve standards of engineering, human resources related to teaching and to prepare skilled technological experts and engineers. In the framework of this project, a ceremony took place earlier today, in which 94 students, teachers, and researchers received official confirmation to study in Japanese universities from Minister of Education Culture and Science L.Gantumur. The ceremony was also attended by the Japanese Ambassador to Mongolia Mr. Takenori Shimizu and Mr. Sato Mutsumi the country-representative of the Japanese International Cooperation Agency (JICA).	http://www.news.mn/r/234198
Cars for ASEM will be exempt from taxes	The ASEM conference will be held on 15th-16th July in Ulaanbaatar. Approximately, 3500-4000 international representatives will visit Mongolia together with with other guests and journalists. The planners consider that between 320 and 350 cars will be required for ASEM. The ASEM preperation team is working to establish contracts with private sector cars importers and to use their cars for the event. Due to this contract, the cars will be used without tuition. Subsequently, the Government has presented a draft bill to Parliament proposing exemptions on customs duties and taxes (including VAT). Along with the cars, other imported items for ASEM such as equipment for the airport, border control and hotels will also be exempted from taxes.	http://www.news.mn/r/234199
“Apartment Rental” program: 579 apartments from March	The General Director of the “State Apartment Corporation” (SAC), A.Gantulga, has announced that an “Apartment Rental” program will take effect from 1st March 2016. The Ministry of Building and Urban Construction is working on the rules and regulations of the program, following which, the SAC will approve their internal rules for the program; this should happen before the end of February. The SAC, therefore, is planning that the program will take effect from March 2016. Under the program, 579 apartments will be available for rent nationwide of which 350 will be in UB. People who rent the apartments will not be able to obtain mortgages, and must belong to living standard categories 3-10. The apartment rent rates will be MNT 200,000-280,000 in UB and MNT 140,000-230,000 in other parts of the country. The renter can live in the apartments for a maximum period of 5 years.	http://www.news.mn/r/234200
“Khuhuu Namjil” to be performed	The State Opera and Dance Theatre is preparing to perform “Khuhuu Namjil” an opera by L.Murdorj. This opera is popular, as is the legend of Khuhuu Namjil. The opera was performed for the first time in 1961; an updated version was staged in 1998. The story is based on the history of Mongolia’s national instrument, the horse-head fiddle. The composer was People’s Artist l.Murdorj; choreaography in the present production is by State Prize winners L.Vangan and Ch.Chimid. “Khuhuu Namjil” opera will be performed on 6th and 7th February at the State Opera and Dance Theatre at 17.00 pm.	http://www.news.mn/r/234625
Parliament to stay on	On the evening of Friday 29th January the Mongolian Great State Khural (Parliament) met will full attendance to debate an important subject, namely the proposed dismissal of the Prime Minister and the Government. The debate lasted six hours - well into the night. The session began with a speech by A.Bakei, head of the State Structure Standing Committee in which he presented the outcome of their meeting, namely to keep the PM and the Government. The vote seems to have been tight: ten of the nineteen members of the committee voted against the proposal to dismiss Prime Minister (passed by 52.9%). Next the head of the Mongolian People’s Party (MMP) Group in Parliament, S.Byambatsogt, presented their unanimous decision to dismiss the PM. The debate was unique insofar as it was chaired by two speakers; first by Deputy Speaker S.Gonchigdorj and then from around 21.00 pm by Speaker Z.Enkhbold himself. This has not happened many times in the history of the Mongolian Parliament. Relating to the issue of the debate, a total of 57 MP’s pressed the button to ask a question; most, however, were simply making statements and giving their opinions than asking questions. As the debate went on President Elbegdorj himself entered the Parliament Hall and said: “I want to say how I think such a situation should be solved in the future. Let’s stop dismissing one Prime Minister and then leaving Parliament to search for a new one. It’s easy for 19 MP’s or more to collect signatures and request that the Prime Minister be dismissed – but in future they need to propose who the replacement will be”. After a very long discussion, lasting until 01:00 am at night, Parliament finally voted to keep the Government by a 57.5% majority. This means that the present Government, which was set up five months ago, will remain unchanged until the next General Election.	http://www.news.mn/r/234399
“VAT Giveaway” lottery on 31st January	The new VAT law which came into force on 1st January 2016 enables people to reclaim 2% of their purchases and also to participate in a lottery twice a month. In the first lottery, which was held on 17th January, the public registered 1,114,929 receipts on the ebarimt.mn site. A total 160 people, who had registered 1169 receipts, became lotto winners – of whom approximately 20 people won MNT 500,000. On Sunday 31st January at 19.30 pm, the second lottery is going on air via Mongolian National Broadcaster; this time, there will be 4800 winners. According to R.Otgontulga, who is director of the “VAT Giveaway” at the General Authority of Customs and Taxation, 2-3 winners will win MNT 20 million. There will also be a lot more winners of the MNT 4 million than in the first lottery. The third VAT lottery will be held on 7th February and is expected to be even bigger; it is forecast that it will involve about 7 million receipts.	http://www.news.mn/r/234400
Mining: Reduction in operating licenses in 2016?	Currently, 3436 special licenses have been provided in Mongolia, of which 1939 are exploration licenses and 1497 are operating licenses for mining companies. We decided to ask the director of the Mineral Resource Authority, D.Uuriintuya, “if the companies which have operating licenses will be able to function as normal in 2016?” In reply, D.Uuriintuya said, “280 companies of the total 1497 license holders have submitted their operation plans for the year. Of this number, only 130 companies have been approved and received permission to operate in 2016”. Therefore, it looks as if the numbers of the mining companies might be reduced this year.	http://www.news.mn/r/234401
How many days for Tsagaan Sar holiday?	Some websites have informed that the Tsagaan Sar holiday will continue for a week. This information is not correct. All holidays or alterations to fixed holidays are set by the Government – so we decided to contact them and check. Here is their reply: “Such a decision has not been made; it has not even been discussed”. The Ministry of Labor told us: “Holidays and working days will in accordance with the law”. This means that according to the “Public Celebration Law” - the 1st 2nd and 3rd days of Tsagaan Sar (9th-11th February) will be public holidays. It should be noted that Tsagaan Sar Eve (8th February) and on 4th day of the lunar calendar (12th February) will be working days. Tsagaan Sar means White Month and marks the beginning of the Lunar New Year according to Tibetan Buddhist tradition. Often this coincides with the Chinese New Year. Together with Naadam in the summer, Tsagaan Sar is the most important holiday in Mongolia.	http://www.news.mn/r/234402
Golden Grand Prix Wrestling Champions	The “Yarygin” Golden Grand Prix is being held at the Yarygin Palace of Sport in the Russian city of Krasnoyarsk. On the first day of the competition, in the female 58 kg category, World Youth Championship bronze medalist P.Orkhon won the Grand Prix, defeating the famous Japanese wrestler Koari Icho by 10:0 points, and received a gold medal. Twenty-three year old P.Orkhon won this year’s State Championship. The contest between P.Orkhon and Kaori Icho put an end to the Japanese wrestler’s run of 158 continuously victories. On the second day of the competition, in the female 75kg category, International Master of Sport B.Odonchimeg took gold by defeating a Russian wrestler. Four other wrestlers - E.Sumiya (53kg), S.Tserenchimed (58kg), B.Shoovdor (58kg), and Sh.Tumentsetseg all took bronze medals. The Golden Grand Prix is named after Ivan Yarygin (1948-97), who was a top Soviet freestyle wrestler, twice Olympic champion and President of the Russian Wrestling Federation.	http://www.news.mn/r/234480
N.Jantsannorov receives the “Silver Horse-Head Fiddle”	The Mongolian Composers’ Federation’s annual “Silver Horse-head Fiddle” gala concert was held on 28th January at the Central Palace of Culture. The best 25 songs which had been nominated in the 1st stage of the competition were performed. In this, the final stage,“Burkhan Khaldun” by the N.Jantsannorov was awarded the best song of the year. In addition N.Jantsannorov, who is People’s Artist and twice holder of the State Prize was named Best Composer of the year. The winner received the “Silver Horse-Head Fiddle” as well as a cash prize.	http://www.news.mn/r/234481
